Date,stress_1d,stress_5d
2022-01-20,,0.6136162485890873
2022-01-21,,1.450194421869374
2022-01-24,,1.3165663099703104
2022-01-25,1.0207448118441318,1.330231460581124
2022-01-26,1.2906179212902624,1.2805051224020882
2022-01-27,1.4104012930598087,1.2068393895735205
2022-01-28,1.0155955134732944,0.7469794317298695
2022-01-31,0.23142835609859805,3.0362005912075674
2022-02-01,0.048818751945872214,0.38683997519738017
2022-02-02,0.1148770798136108,0.03280439253447046
2022-02-03,1.040573757059894,0.6845223843838035
2022-02-04,0.058607394182936215,0.10525362197935348
2022-02-07,0.22249795271104797,0.2000871851974714
2022-02-08,0.3822620425807124,0.07451401663667652
2022-02-09,0.1415971942133968,0.20619049259032401
2022-02-10,0.7631064715673564,0.37509387969840463
2022-02-11,1.0935843294881258,1.1821391053885342
2022-02-14,1.1455029510554355,1.2166673593522954
2022-02-15,1.0081331490860541,0.5376360589751608
2022-02-16,0.4623335148400675,0.5441559100708574
2022-02-17,1.5438851064250816,1.0504555739886443
2022-02-18,1.1280923071636662,0.8837956924198699
2022-02-22,1.2367548998194449,1.3114136297240964
2022-02-23,1.4126772208312692,1.5473999994398364
2022-02-24,1.4421994380236955,1.3975708343982025
2022-02-25,0.9248638022912522,0.46337160410147726
2022-02-28,1.6681567490039029,1.6148579296151095
2022-03-01,2.5398207496296132,1.5736623363130204
2022-03-02,1.7497067785593483,1.1295324895310084
2022-03-03,2.1211385418054287,1.3435544942624125
2022-03-04,2.3007352624337543,1.560072394851064
2022-03-07,2.6514214226867283,2.396609488802704
2022-03-08,2.870424594477661,2.256372244152716
2022-03-09,1.686519650653185,1.3195671701833693
2022-03-10,1.603666148088038,1.3572775240072725
2022-03-11,1.7026443441628905,1.36868201344342
2022-03-14,2.5755474204981743,1.4049227765392842
2022-03-15,1.4563203700606866,1.217852936227971
2022-03-16,0.6883377635440634,0.787560150506235
2022-03-17,0.7293377496507882,0.8481390164440376
2022-03-18,0.49713267489261564,0.23362968573933696
2022-03-21,1.0809586808347116,0.490585647921928
2022-03-22,0.3785090330029968,0.1130375937674967
2022-03-23,0.7579019547552883,0.4735300599084614
2022-03-24,0.17697813259976722,0.12133046552290552
2022-03-25,0.2661009573259016,0.4437693611753383
2022-03-28,0.5862638096955399,0.5399897281209705
2022-03-29,0.2916822124807025,0.013640323506971464
2022-03-30,0.38172773326650206,0.29438266966761906
2022-03-31,0.42458943545909344,0.3626525390118207
2022-04-01,0.3300300257286599,0.25449336851501986
2022-04-04,-0.15053937530447498,-0.03488557041587912
2022-04-05,1.2274144676333174,0.23805198972061523
2022-04-06,0.7498274402886668,0.5893051435647603
2022-04-07,0.026622449927264247,0.0075188754738403744
2022-04-08,0.27727226734231214,0.5950891347949328
